,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Norman Wells,CA,2022-08-11 23:34:53,65.282,-126.8329,73.44,25,20,4.61,few clouds
1,Baruun-Urt,MN,2022-08-11 23:34:53,46.6806,113.2792,63.86,65,95,7.27,overcast clouds
2,Albany,US,2022-08-11 23:32:59,42.6001,-73.9662,80.51,54,60,1.01,broken clouds
3,Tuktoyaktuk,CA,2022-08-11 23:34:53,69.4541,-133.0374,53.6,82,75,11.5,broken clouds
4,Atar,MR,2022-08-11 23:34:54,20.5169,-13.0499,97.52,30,92,9.06,overcast clouds
5,Chiredzi,ZW,2022-08-11 23:34:54,-21.05,31.6667,62.1,65,0,3.89,clear sky
6,Saldanha,ZA,2022-08-11 23:34:55,-33.0117,17.9442,55.45,87,100,13.2,overcast clouds
7,Worland,US,2022-08-11 23:34:55,44.0169,-107.9554,93.65,30,0,13.8,clear sky
8,Mahebourg,MU,2022-08-11 23:34:56,-20.4081,57.7,68.25,88,75,18.41,broken clouds
9,San Quintin,MX,2022-08-11 23:34:56,30.4833,-115.95,75.94,72,93,13.94,overcast clouds
10,Ushuaia,AR,2022-08-11 23:34:56,-54.8,-68.3,33.46,86,40,2.3,scattered clouds
11,Vaini,TO,2022-08-11 23:34:41,-21.2,-175.2,77.16,78,20,12.66,few clouds
12,Awjilah,LY,2022-08-11 23:34:57,29.1081,21.2869,82.71,37,0,13.42,clear sky
13,Luderitz,NA,2022-08-11 23:34:57,-26.6481,15.1594,55.49,84,35,6.02,scattered clouds
14,Bengkulu,ID,2022-08-11 23:34:58,-3.8004,102.2655,76.3,90,36,3.42,scattered clouds
15,Petropavlovsk-Kamchatskiy,RU,2022-08-11 23:34:58,53.0452,158.6483,57.79,94,75,8.95,broken clouds
16,Jumla,NP,2022-08-11 23:34:58,29.2747,82.1838,58.95,85,27,5.32,scattered clouds
17,Ambilobe,MG,2022-08-11 23:34:58,-13.2,49.05,63.73,64,1,5.28,clear sky
18,Talnakh,RU,2022-08-11 23:34:59,69.4865,88.3972,47.21,85,97,4.18,light rain
19,Ganta,LR,2022-08-11 23:34:59,7.3022,-8.5308,69.44,99,84,4.36,light rain
20,Samarai,PG,2022-08-11 23:35:00,-10.6167,150.6667,78.17,85,97,15.57,overcast clouds
21,Upernavik,GL,2022-08-11 23:35:00,72.7868,-56.1549,42.01,85,100,11.1,overcast clouds
22,Sao Filipe,CV,2022-08-11 23:35:00,14.8961,-24.4956,78.15,80,24,13.18,few clouds
23,Castro,BR,2022-08-11 23:35:01,-24.7911,-50.0119,45.52,94,0,4.59,clear sky
24,Hambantota,LK,2022-08-11 23:35:01,6.1241,81.1185,78.48,84,98,17.78,moderate rain
